,gene_names
1360,TLR5
1361,CAPN8
1362,CAPN2
1363,TP53BP2
1364,FBXO28
1365,DEGS1
1366,NVL
1367,CNIH4
1368,WDR26
1369,CNIH3
1370,DNAH14
1371,LBR
1372,ENAH
1373,SRP9
1374,EPHX1
1375,TMEM63A
1376,LEFTY1
1377,PYCR2
1378,SDE2
1379,H3-3A
1380,ACBD3
1381,MIXL1
1382,LIN9
1383,PARP1
1384,STUM
1385,ITPKB
1386,PSEN2
1387,COQ8A
1388,CDC42BPA
1389,ZNF678
1390,SNAP47
1391,JMJD4
1392,WNT9A
1393,ARF1
1394,C1orf35
1395,GUK1
1396,GJC2
1397,IBA57
1398,OBSCN
1399,TRIM11
1400,RNF187
1401,RHOU
1402,RAB4A
1403,CCSAP
1404,NUP133
1405,ABCB10
1406,TAF5L
1407,URB2
1408,GALNT2
1409,PGBD5
1410,COG2
1411,AGT
1412,CAPN9
1413,C1orf198
1414,TTC13
1415,ARV1
1416,FAM89A
1417,C1orf131
1418,GNPAT
1419,EXOC8
1420,SPRTN
1421,EGLN1
1422,TSNAX
1423,DISC1
1424,SIPA1L2
1425,MAP10
1426,NTPCR
1427,PCNX2
1428,MAP3K21
1429,KCNK1
1430,COA6
1431,TARBP1
1432,IRF2BP2
1433,TOMM20
1434,ARID4B
1435,GGPS1
1436,TBCE
1437,B3GALNT2
1438,GNG4
1439,LYST
1440,NID1
1441,GPR137B
1442,ERO1B
1443,LGALS8
1444,HEATR1
1445,MTR
1446,RYR2
1447,CHRM3
1448,GREM2
1449,FH
1450,KMO
1451,OPN3
1452,CHML
1453,EXO1
1454,CEP170
1455,SDCCAG8
1456,AKT3
1457,ZBTB18
1458,ADSS2
1459,DESI2
1460,COX20
1461,HNRNPU
1462,EFCAB2
1463,KIF26B
1464,SMYD3
1465,TFB2M
1466,CNST
1467,SCCPDH
1468,AHCTF1
1469,ZNF695
1470,ZNF670
1471,ZNF669
1472,ZNF124
1473,ZNF496
1474,NLRP3
1475,TRIM58
1476,OR2T2
1477,OR2G6
1478,OR2T34
1479,OR2T10
1480,OR2T11
1481,LYPD8
1482,SH3BP5L
1483,ZNF672
1484,ZNF692
1485,PGBD2
1486,FAM110C
1487,SH3YL1
1488,ACP1
1489,ALKAL2
1490,TMEM18
1491,SNTG2
1492,PXDN
1493,EIPR1
1494,TRAPPC12
1495,ADI1
1496,RNASEH1
1497,COLEC11
1498,CMPK2
1499,RSAD2
1500,RNF144A
1501,ID2
1502,KIDINS220
1503,MBOAT2
1504,ASAP2
1505,ITGB1BP1
1506,CPSF3
1507,IAH1
1508,ADAM17
1509,YWHAQ
1510,TAF1B
1511,GRHL1
1512,KLF11
1513,CYS1
1514,RRM2
1515,HPCAL1
1516,ODC1
1517,NOL10
1518,ATP6V1C2
1519,PDIA6
1520,KCNF1
1521,SLC66A3
1522,ROCK2
1523,E2F6
1524,GREB1
1525,LPIN1
1526,TRIB2
1527,LRATD1
1528,NBAS
1529,DDX1
1530,MYCN
1531,VSNL1
1532,SMC6
1533,GEN1
1534,KCNS3
1535,RDH14
1536,OSR1
1537,TTC32
1538,WDR35
1539,MATN3
1540,LAPTM4A
1541,SDC1
1542,PUM2
1543,RHOB
1544,HS1BP3
1545,GDF7
1546,LDAH
1547,APOB
1548,KLHL29
1549,ATAD2B
1550,UBXN2A
1551,WDCP
1552,FKBP1B
1553,SF3B6
1554,FAM228B
1555,TP53I3
1556,ITSN2
1557,NCOA1
1558,PTRHD1
1559,CENPO
1560,ADCY3
1561,DNAJC27
1562,EFR3B
1563,DNMT3A
1564,DTNB
1565,ASXL2
1566,KIF3C
1567,RAB10
1568,GAREM2
1569,HADHA
1570,HADHB
1571,SELENOI
1572,OTOF
1573,FAM166C
1574,KCNK3
1575,SLC35F6
1576,CENPA
1577,MAPRE3
1578,TMEM214
1579,AGBL5
1580,OST4
1581,EMILIN1
1582,KHK
1583,CGREF1
1584,PREB
1585,SLC5A6
1586,ATRAID
1587,CAD
1588,TRIM54
1589,UCN
1590,MPV17
1591,GTF3C2
1592,EIF2B4
1593,SNX17
1594,ZNF513
1595,PPM1G
1596,NRBP1
1597,KRTCAP3
1598,IFT172
1599,FNDC4
1600,ZNF512
1601,CCDC121
1602,GPN1
1603,SUPT7L
1604,SLC4A1AP
1605,RBKS
1606,BABAM2
1607,FOSL2
1608,PLB1
1609,PPP1CB
1610,TRMT61B
1611,WDR43
1612,CLIP4
1613,YPEL5
1614,LBH
1615,LCLAT1
1616,CAPN13
1617,GALNT14
1618,CAPN14
1619,EHD3
1620,XDH
1621,DPY30
1622,SPAST
1623,SLC30A6
1624,NLRC4
1625,YIPF4
1626,BIRC6
1627,TTC27
1628,LTBP1
1629,RASGRP3
1630,FAM98A
1631,CRIM1
1632,FEZ2
1633,VIT
1634,STRN
1635,HEATR5B
1636,GPATCH11
1637,EIF2AK2
1638,CEBPZOS
1639,CEBPZ
1640,NDUFAF7
1641,PRKD3
1642,QPCT
1643,CDC42EP3
1644,RMDN2
1645,CYP1B1
1646,ATL2
1647,HNRNPLL
1648,GALM
1649,SRSF7
1650,GEMIN6
1651,DHX57
1652,MORN2
